From	To	Species	Gene Name
GDA	9615	Homo sapiens	guanine deaminase
SCN3A	6328	Homo sapiens	sodium channel, voltage-gated, type III, alpha subunit
SCN3B	55800	Homo sapiens	sodium channel, voltage-gated, type III, beta
RPLP2	6181	Homo sapiens	ribosomal protein, large, P2 pseudogene 3; ribosomal protein, large, P2
RPLP2	643949	Homo sapiens	ribosomal protein, large, P2 pseudogene 3; ribosomal protein, large, P2
GFER	2671	Homo sapiens	growth factor, augmenter of liver regeneration
SNORA68	26780	Homo sapiens	small nucleolar RNA, H/ACA box 68
SNORA64	26784	Homo sapiens	small nucleolar RNA, H/ACA box 10; small nucleolar RNA, H/ACA box 64
SNORA64	574042	Homo sapiens	small nucleolar RNA, H/ACA box 10; small nucleolar RNA, H/ACA box 64
SNORA72	26775	Homo sapiens	small nucleolar RNA, H/ACA box 72
BTBD1	53339	Homo sapiens	BTB (POZ) domain containing 1
BTBD2	55643	Homo sapiens	BTB (POZ) domain containing 2
BTBD3	22903	Homo sapiens	BTB (POZ) domain containing 3
ACAA2	10449	Homo sapiens	hypothetical LOC648603; acetyl-Coenzyme A acyltransferase 2
ACAA2	648603	Homo sapiens	hypothetical LOC648603; acetyl-Coenzyme A acyltransferase 2
TMEFF2	23671	Homo sapiens	transmembrane protein with EGF-like and two follistatin-like domains 2
LOC401324	401324	Homo sapiens	acyloxyacyl hydrolase (neutrophil)
TFPT	29844	Homo sapiens	TCF3 (E2A) fusion partner (in childhood Leukemia)
SCN2B	6327	Homo sapiens	sodium channel, voltage-gated, type II, beta
BARHL1	56751	Homo sapiens	BarH-like homeobox 1
UGCG	7357	Homo sapiens	UDP-glucose ceramide glucosyltransferase
SCN2A	6326	Homo sapiens	sodium channel, voltage-gated, type II, alpha subunit
BTBD7	55727	Homo sapiens	BTB (POZ) domain containing 7
BTBD6	90135	Homo sapiens	BTB (POZ) domain containing 6
GEM	2669	Homo sapiens	GTP binding protein overexpressed in skeletal muscle
BTBD9	114781	Homo sapiens	BTB (POZ) domain containing 9
BTBD8	284697	Homo sapiens	BTB (POZ) domain containing 8
TAGLN	6876	Homo sapiens	transgelin
HSD11B1	3290	Homo sapiens	hydroxysteroid (11-beta) dehydrogenase 1
TFPI	7035	Homo sapiens	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
HSD11B2	3291	Homo sapiens	hydroxysteroid (11-beta) dehydrogenase 2
ACAA1	30	Homo sapiens	acetyl-Coenzyme A acyltransferase 1
RALGPS2	55103	Homo sapiens	Ral GEF with PH domain and SH3 binding motif 2
SCN1A	6323	Homo sapiens	sodium channel, voltage-gated, type I, alpha subunit
RALGPS1	9649	Homo sapiens	Ral GEF with PH domain and SH3 binding motif 1
SCN1B	6324	Homo sapiens	sodium channel, voltage-gated, type I, beta
T	6862	Homo sapiens	T, brachyury homolog (mouse)
ATN1	1822	Homo sapiens	atrophin 1
TYRO3P	7302	Homo sapiens	TYRO3P protein tyrosine kinase pseudogene
FAIM	55179	Homo sapiens	Fas apoptotic inhibitory molecule
PPAPDC1B	84513	Homo sapiens	phosphatidic acid phosphatase type 2 domain containing 1B
GGH	8836	Homo sapiens	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
ACACA	31	Homo sapiens	acetyl-Coenzyme A carboxylase alpha
OR1Q1	158131	Homo sapiens	olfactory receptor, family 1, subfamily Q, member 1
PPAPDC1A	196051	Homo sapiens	phosphatidic acid phosphatase type 2 domain containing 1A
ACACB	32	Homo sapiens	acetyl-Coenzyme A carboxylase beta
ZSCAN4	201516	Homo sapiens	zinc finger and SCAN domain containing 4
ZSCAN1	284312	Homo sapiens	zinc finger and SCAN domain containing 1
ZSCAN2	54993	Homo sapiens	zinc finger and SCAN domain containing 2
GGN	199720	Homo sapiens	gametogenetin
GH2	2689	Homo sapiens	growth hormone 2
GH1	2688	Homo sapiens	growth hormone 1
GNGT1	2792	Homo sapiens	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1
GNGT2	2793	Homo sapiens	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2
LOC441666	441666	Homo sapiens	zinc finger protein 91 pseudogene
LOC219347	219347	Homo sapiens	hypothetical LOC219347
PARP9	83666	Homo sapiens	poly (ADP-ribose) polymerase family, member 9
PARP8	79668	Homo sapiens	poly (ADP-ribose) polymerase family, member 8
POP1	10940	Homo sapiens	processing of precursor 1, ribonuclease P/MRP subunit (S. cerevisiae)
PARP6	56965	Homo sapiens	poly (ADP-ribose) polymerase family, member 6
PARP3	10039	Homo sapiens	poly (ADP-ribose) polymerase family, member 3
POP4	10775	Homo sapiens	processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)
PARP1	142	Homo sapiens	poly (ADP-ribose) polymerase 1
POP5	51367	Homo sapiens	processing of precursor 5, ribonuclease P/MRP subunit (S. cerevisiae)
ACAD10	80724	Homo sapiens	acyl-Coenzyme A dehydrogenase family, member 10
PARP2	10038	Homo sapiens	poly (ADP-ribose) polymerase 2
POP7	10248	Homo sapiens	processing of precursor 7, ribonuclease P/MRP subunit (S. cerevisiae)
LOC100133308	100133308	Homo sapiens	Ras suppressor protein 1 pseudogene
SNORA25	79101	Homo sapiens	TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa; small nucleolar RNA, H/ACA box 32; small nucleolar RNA, H/ACA box 25
SNORA25	684959	Homo sapiens	TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa; small nucleolar RNA, H/ACA box 32; small nucleolar RNA, H/ACA box 25
SNORA25	692063	Homo sapiens	TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa; small nucleolar RNA, H/ACA box 32; small nucleolar RNA, H/ACA box 25
GFAP	2670	Homo sapiens	glial fibrillary acidic protein
BCKDK	10295	Homo sapiens	branched chain ketoacid dehydrogenase kinase
MGRN1	23295	Homo sapiens	mahogunin, ring finger 1
ANP32A	723972	Homo sapiens	hepatopoietin PCn127; acidic (leucine-rich) nuclear phosphoprotein 32 family, member A
ANP32A	8125	Homo sapiens	hepatopoietin PCn127; acidic (leucine-rich) nuclear phosphoprotein 32 family, member A
AMY2B	280	Homo sapiens	amylase, alpha 2B (pancreatic)
GHR	2690	Homo sapiens	growth hormone receptor
PARVG	64098	Homo sapiens	parvin, gamma
MTERF	7978	Homo sapiens	mitochondrial transcription termination factor
GIP	2695	Homo sapiens	gastric inhibitory polypeptide
AIFM3	150209	Homo sapiens	apoptosis-inducing factor, mitochondrion-associated, 3
ANP32B	646791	Homo sapiens	similar to Acidic leucine-rich nuclear phosphoprotein 32 family member B (PHAPI2 protein) (Silver-stainable protein SSP29) (Acidic protein rich in leucines); acidic (leucine-rich) nuclear phosphoprotein 32 family, member B
ANP32B	10541	Homo sapiens	similar to Acidic leucine-rich nuclear phosphoprotein 32 family member B (PHAPI2 protein) (Silver-stainable protein SSP29) (Acidic protein rich in leucines); acidic (leucine-rich) nuclear phosphoprotein 32 family, member B
AIFM2	84883	Homo sapiens	apoptosis-inducing factor, mitochondrion-associated, 2
AIFM1	9131	Homo sapiens	apoptosis-inducing factor, mitochondrion-associated, 1
ANP32C	23520	Homo sapiens	acidic (leucine-rich) nuclear phosphoprotein 32 family, member C
ANP32D	23519	Homo sapiens	acidic (leucine-rich) nuclear phosphoprotein 32 family, member D
ANP32E	81611	Homo sapiens	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E
FLJ10038	55056	Homo sapiens	hypothetical protein FLJ10038
SLC3A2	6520	Homo sapiens	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2
GIF	2694	Homo sapiens	gastric intrinsic factor (vitamin B synthesis)
SLC3A1	6519	Homo sapiens	solute carrier family 3 (cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1
CCT6A	908	Homo sapiens	chaperonin containing TCP1, subunit 6A (zeta 1)
BRWD3	254065	Homo sapiens	bromodomain and WD repeat domain containing 3
BRWD1	54014	Homo sapiens	bromodomain and WD repeat domain containing 1
FANCD2	2177	Homo sapiens	Fanconi anemia, complementation group D2
PARVB	29780	Homo sapiens	parvin, beta
PARVA	55742	Homo sapiens	parvin, alpha
SCML4	256380	Homo sapiens	sex comb on midleg-like 4 (Drosophila)
PTOV1	53635	Homo sapiens	prostate tumor overexpressed 1
MDS2	259283	Homo sapiens	myelodysplastic syndrome 2 translocation associated
ECEL1	9427	Homo sapiens	endothelin converting enzyme-like 1
GK2	2712	Homo sapiens	glycerol kinase 2
SCML2	10389	Homo sapiens	sex comb on midleg-like 2 (Drosophila)
SCML1	6322	Homo sapiens	sex comb on midleg-like 1 (Drosophila)
LOC401317	401317	Homo sapiens	hypothetical LOC401317
UGDH	7358	Homo sapiens	UDP-glucose dehydrogenase
OFCC1	266553	Homo sapiens	orofacial cleft 1 candidate 1
PART1	25859	Homo sapiens	prostate androgen-regulated transcript 1
POT1	25913	Homo sapiens	POT1 protection of telomeres 1 homolog (S. pombe)
LOC401321	401321	Homo sapiens	hypothetical LOC401321
LOC401320	401320	Homo sapiens	hypothetical LOC401320
CCT6B	10693	Homo sapiens	chaperonin containing TCP1, subunit 6B (zeta 2)
DOM3Z	1797	Homo sapiens	dom-3 homolog Z (C. elegans)
PARS2	25973	Homo sapiens	prolyl-tRNA synthetase 2, mitochondrial (putative)
DHCR7	1717	Homo sapiens	7-dehydrocholesterol reductase
LOC730091	730091	Homo sapiens	hypothetical protein LOC730091
LOC730098	730098	Homo sapiens	similar to chemokine (C-C motif) ligand 27
GK5	256356	Homo sapiens	glycerol kinase 5 (putative)
ATRN	8455	Homo sapiens	attractin
MANBA	4126	Homo sapiens	mannosidase, beta A, lysosomal
ATRX	546	Homo sapiens	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)
GLA	2717	Homo sapiens	galactosidase, alpha
SPATA2L	124044	Homo sapiens	spermatogenesis associated 2-like
SNORA61	677838	Homo sapiens	small nucleolar RNA, H/ACA box 61
QRFPR	84109	Homo sapiens	pyroglutamylated RFamide peptide receptor
SPATA20	64847	Homo sapiens	spermatogenesis associated 20
OR1J2	26740	Homo sapiens	olfactory receptor, family 1, subfamily J, member 2
OR1J4	26219	Homo sapiens	olfactory receptor, family 1, subfamily J, member 4
NR2E3	10002	Homo sapiens	nuclear receptor subfamily 2, group E, member 3
NR2E1	7101	Homo sapiens	nuclear receptor subfamily 2, group E, member 1
CTNNBL1	56259	Homo sapiens	catenin, beta like 1
NLRC5	84166	Homo sapiens	NLR family, CARD domain containing 5
NLRC4	58484	Homo sapiens	NLR family, CARD domain containing 4
NUDCD3	23386	Homo sapiens	NudC domain containing 3
NLRC3	197358	Homo sapiens	NLR family, CARD domain containing 3
NUDCD2	134492	Homo sapiens	NudC domain containing 2
ATG5	9474	Homo sapiens	ATG5 autophagy related 5 homolog (S. cerevisiae)
